tax_id,tax_name,parent_id,rank,comments
186802_1,BVAB1,186802,species,
186802_2,BVAB2,186802,species,
186802_3,BVAB3,186802,species,
1485_1,Clostridium sp. type 1,1485,species,C. perfringens 96%
39948_1,Dialister sp. type 1,39948,species,
39948_2,Dialister sp. type 2,39948,species,
39948_3,Dialister sp. type 3,39948,species,"eg, HM021540 (Uncultured bacterium clone 14L-68 16S)"
906_1,Megasphaera sp. type 1,906,species,
906_2,Megasphaera sp. type 2,906,species,
2_1,Porphyromonas sp. type 1,836,species,"123f-67, AY738701; 97-98% match to members of genus Porphyromonas"
838_1,Prevotella genogroup 1,838,species,
838_2,Prevotella genogroup 2,838,species,
838_3,Prevotella genogroup 3,838,species,
838_4,Prevotella genogroup 4,838,species,
838_5,Prevotella genogroup 5,838,species,"99% match to AF385513, human oral clone"
838_6,Prevotella genogroup 6,838,species,
838_7,Prevotella genogroup 7,838,species,"shahii, 123f2-72"
95818_1,Candidate Division TM7 vaginal,95818,species,distinguish from oral TM7 239137
